"date","market","symbol","company","fiscal_period","industry","Fundamental","Direction","Sentiment","Risk","summary","eps_forecast","eps_4q_ago","eps_current","eps_4q_prior_period","surp_eps_4q_ago","surp_eps_current","surp_eps_4q_prior_period","sales_forecast","sales_4q_ago","sales_current","sales_4q_prior_period","surp_4q_ago","surp_current","surp_4q_prior_period"
2026-04-28,"TSE",6762,"TDK","Q4 '25","電気機器","up","up","up","45","Q3累計売上¥1兆8,586億(+11.3%)、営業利益¥2,307億(+10.4%)と9ヶ月で過去最高を更新。ICTとHDD関連が好調で通期見通しを上方修正し売上¥2.47兆を見込む。車載向けBEV需要の弱さが課題だが、全体の成長基調は堅い。",14.37,3.31,36.78,29.07,-59.08,9,3.61,592.99,534.26,675.2,581.04,5.75,6.14,1.48
2026-04-29,"NASDAQ","GOOG","Alphabet (Google)","Q1 '26","ソフトウェア、テクノロジー","up","up","up","35","Q4売上$1,138億(+18%)、EPS$2.82(+31%)と大幅に予想を上回り年間売上は初の$4,000億超を達成。検索・クラウド・AIが全方位で成長。2026年の設備投資$1,750〜1,850億は前年のほぼ倍で、AIへの巨額投資が利益率への影響を注視される。",2.62,2.81,2.82,2.15,38.84,7.04,1.45,106.9,90.23,113.83,96.47,1.15,2.25,-0.24
2026-04-29,"NASDAQ","MSFT","Microsoft","Q3 '26","ソフトウェア、テクノロジー","up","up","flat","30","Q2 FY2026売上$813億(+17%)、非GAAP EPS$4.14(+24%)と好調。クラウド売上$515億(+26%)、Azure+39%成長。ただし市場が期待するAzure加速には届かず株価は下落。設備投資$375億は過去最大で、AI投資のリターンが今後の焦点。",4.05,3.46,4.14,3.23,7.38,6.08,3.54,81.37,70.07,81.27,69.63,2.38,1.2,1.11
2026-04-29,"NASDAQ","AMZN","Amazon","Q1 '26","小売り","up","up","flat","35","Q4売上$2,134億(+14%)と予想超だがEPS$1.95は僅かに未達。AWS$356億(+24%)と広告$213億(+22%)が高収益で成長を牽引。2026年設備投資は$2,000億と巨額で、AI基盤整備への積極姿勢が鮮明だが利益圧迫の懸念も残る。",1.63,1.59,1.95,1.86,16.38,-1,25.14,177.2,155.67,213.39,187.79,0.33,0.91,0.24
2026-04-29,"NASDAQ","META","Meta Platforms","Q1 '26","テクノロジー","up","up","up","40","Q4売上$599億(+24%)、EPS$8.88と大幅に予想超。広告事業が全体の97%を占め、表示回数+18%・単価+6%の好循環。年間売上は$2,010億を突破。2026年の設備投資$1,150〜1,350億はAI基盤に集中し、短期の利益率圧迫と長期成長の両面を持つ。",6.65,6.43,8.88,8.02,22.83,8.13,18.71,55.51,42.31,59.89,48.38,2.36,2.45,2.94
2026-04-30,"NYSE","MA","Mastercard","Q1 '26","金融サービス","up","up","up","25","Q4売上$88億(+18%)、調整後EPS$4.76(+25%)と堅調。越境取引+14%、決済件数+10%と消費が底堅い。付加価値サービスは+23%成長し売上構成比が拡大。年間売上$328億、純利益$150億と高い収益力を維持。規制リスクはあるが事業基盤は強固。",4.41,3.73,4.76,3.82,4.27,12.17,3.4,8.26,7.3,8.81,7.49,2.38,0.37,1.4
2026-04-30,"TSE",6971,"京セラ","Q4 '25","電気機器","flat","flat","flat","50","Q3売上¥5,306億、EPS¥31.20と前年の赤字から大幅改善。半導体部品がAI需要の恩恵を受け成長を牽引。子会社売却益¥150億を含めFY2026ガイダンスを上方修正。構造改革を進めROE 8%を中期目標に掲げるが、利益率は依然5%台と低水準。",14.13,4.1,30.97,-12.6,6.91,42.66,-158.93,501.55,522.4,530.61,493.47,3.67,3.95,-2.45
2026-04-30,"NASDAQ","AAPL","Apple","Q2 '26","テクノロジー","up","up","up","25","Q1 FY2026売上$1,438億(+16%)は過去最高。iPhone$853億(+23%)が全地域で記録を更新し、中国も+38%と急回復。サービス$300億(+14%)も最高を更新。EPS$2.84(+19%)、営業CF$539億と利益創出力は圧倒的。Q2も13〜16%成長を見込む。",1.94,1.65,2.84,2.4,1.39,6.23,2.23,109.14,95.36,143.76,124.3,0.86,3.88,0.03
2026-04-30,"NYSE","MRK","Merck","Q1 '26","医薬品","up","flat","flat","55","Q4売上$164億(+5%)、EPS$2.04と予想を僅かに上回ったが、2026年ガイダンス(売上$655〜670億)は市場予想を下回った。キートルーダは引き続き成長するも2028年の特許切れが迫る。シデラ買収の一時費用$90億も重荷で、移行期にある。",-1.47,2.22,2.04,1.72,4.1,1.43,6.88,15.91,15.53,16.4,15.62,1.24,1.24,0.91
2026-04-30,"NYSE","LLY","Eli Lilly","Q1 '26","医薬品、バイオテクノロジー","up","up","up","35","Q4売上$193億(+43%)、非GAAP EPS$7.54(+42%)と大幅な予想超え。マンジャロとゼップバウンドの需要急増が牽引。2026年ガイダンスは売上$800〜830億と市場予想を上回り、成長の持続力を示した。経口GLP-1のオルフォグリプロンの承認申請も進む。",6.96,3.34,7.54,5.32,2.51,9.1,5.45,17.65,12.73,19.29,13.53,0.48,7.51,0.44
2026-04-30,"TSE",8035,"東京エレクトロン","Q4 '25","電気機器","up","down","flat","50","Q3売上¥5,520億(-15.7%)と前年の高水準から減速。粗利率も42.7%に低下。前年度に中国向け出荷の前倒しがあった反動が大きい。ただしAI半導体向け装置需要は旺盛で、2026暦年は市場15%超成長を見込む。R&D投資¥2,900億で技術力強化を継続。",412.47,311.99,258.59,341.74,9.47,-3.78,21.2,689.69,655.4,552.05,654.54,2.59,-7.7,8.01
2026-05-04,"NYSE","BRK.B","Berkshire Hathaway","Q1 '26","保険、製造業、金融、投資","up","down","flat","30","Q4営業利益$102億(-29%)と保険引受の悪化が響き大幅減益。FY2025通期でも営業利益は前年比-6%。一方で株主資本$7,197億、現金$519億と財務は盤石。バフェット退任後、アベルCEO体制が始動。自社株買いは2025年中は見送られた。",5.11,4.47,4.73,6.74,-5.4,-14.16,45.86,92.91,83.29,100.67,94.92,-8.3,3.81,2.99
2026-05-08,"TSE",9766,"コナミグループ","Q4 '25","情報・通信業","up","up","up","35","Q3累計売上¥3,530億(+13.6%)、営業利益¥1,018億(+17.4%)と2期連続で過去最高を更新。デジタルエンタメ事業がゲームとカードゲームの好調で+16.3%成長。IP活用のグローバル展開が加速しており、収益基盤の安定感が増している。",146.9,85.44,205.54,197.03,-31.66,-0.16,16.13,129.4,110.77,128.18,126.75,-7.47,0.72,6.01
2026-05-08,"TSE",7974,"任天堂","Q4 '25","その他製品","up","up","flat","40","Switch 2の発売で9ヶ月売上¥1兆9,058億(+99.3%)と倍増。営業利益¥3,004億(+21.3%)、純利益¥3,589億(+51.3%)。ただし粗利率はハード比率上昇で37.4%に低下。売上は予想を下回り株価は9.4%下落。ソフト展開の持続力が今後の鍵。",60.72,35.74,137.36,110.4,7.6,7.39,-8.95,431.88,208.7,806.32,432.92,-1.35,-2.91,-11.45
2026-05-08,"TSE",7203,"トヨタ自動車","Q4 '25","輸送用機器","up","flat","flat","55","Q3累計売上¥38兆(+6.8%)だが営業利益¥3.2兆(-13.1%)と減益。米国関税の影響が¥1,450億に達するも、販売台数増と価格改定で吸収を図る。通期見通しを営業利益¥3.8兆に上方修正。商品力は強いが関税環境の不透明感が大きい。",49.48,51.61,96.48,165.8,25.43,42.61,68.09,12590,12360,13460,12390,3.25,4.56,3.66
2026-05-12,"TSE",6367,"ダイキン工業","Q4 '25","機械","flat","flat","flat","45","Q3累計売上¥3兆6,660億(+2.0%)、営業利益¥3,079億(-3.4%)。世界的な空調需要の低迷と米国関税が収益を圧迫。通期売上見通しは上方修正も営業利益は下方修正。データセンター冷却など新領域への期待はあるが足元は厳しい。",225.1,266.55,117.61,119.72,14.41,-40.56,-42.36,1220,1160,1190,1100,-0.72,2.52,-0.63
2026-05-12,"TSE",9433,"KDDI","Q4 '25","情報・通信業","flat","flat","flat","55","Q3速報で売上+3.8%、利益+5.3%と堅調な事業進捗。金融・エネルギー・ローソン連結が成長に寄与。ただし架空取引に関する特別調査が進行中で決算発表が延期された。通期見通しは営業収益¥6,330億(+7.0%)を維持するが調査結果が不確定要素。",140.66,37.57,44.15,46.16,-14.31,-14.11,-0.92,1610,1550,1510,1510,5.14,-3.03,0.07
2026-05-13,"TSE",6758,"ソニーグループ","Q4 '25","電気機器","up","up","flat","40","Q3売上¥3兆7,137億(+1%)、営業利益¥5,150億(+22%)と四半期過去最高を更新。ゲーム・音楽・半導体が利益成長を牽引し営業利益率は13.9%に改善。通期見通しを上方修正。金融子会社のスピンオフで事業構造が明確化しつつある。",34.76,31.35,63.18,59.11,29.44,2.77,30.25,2890,2630,3710,4410,-13.23,1,17.07
2026-05-13,"TSE",9984,"ソフトバンクグループ","Q4 '25","情報・通信業","flat","flat","flat","70","投資持株会社として9ヶ月決算を発表。Arm株やOpenAIへの投資を軸にAI領域でのポジショニングを強化。ただし投資損益の振れが大きく連結業績の変動が激しい。為替損や負債水準の高さもあり、従来型の財務分析では評価が難しい構造。",49.61,88.52,43.09,-63.49,341.71,32.14,-206.72,1990,1940,1980,1830,1.63,1.29,0.72
2026-05-13,"TSE",7832,"バンダイナムコHD","Q4 '25","その他製品","up","up","flat","35","Q3累計売上¥1兆20億(+4.6%)と9ヶ月で初の1兆円超え。玩具・ホビーが堅調で過去最高を達成。通期見通しを売上¥1.3兆(+4%)、営業利益¥1,810億(+9.7%)に上方修正。純利益率は10.4%に改善しIP活用の収益化が進む。",26.56,1.16,55.82,73.33,-91.24,-8.39,54.69,303.87,285.85,358.43,344.27,1.9,5.86,9.75
2026-05-14,"NASDAQ","WMT","Walmart","Q1 '26","小売り、食品、ドラッグ","up","up","up","25","Q4 FY2026売上$1,907億(+5.6%)、調整後EPS$0.74(+12.1%)と堅調。eコマースは+24%で売上の23%に到達。広告収入は年間$64億(+46%)と新たな収益源が急拡大。FY2027は売上+3.5〜4.5%、営業利益+6〜8%成長を見込む。",0.66,0.61,0.74,0.66,6,1.81,2.18,174.49,165.61,190.66,180.55,-0.01,0.09,0.27
2026-05-15,"TSE",6098,"リクルートホールディングス","Q4 '25","サービス業","up","up","up","35","Q3累計売上¥9,431億(+5.2%)、営業利益¥1,821億(+30.4%)と利益成長が加速。米国HR Techの売上は+10.1%でARPJも+18%と好調。通期ガイダンスを上方修正しEPS¥335を見込む。¥2,500億の自社株買いも完了し株主還元も充実。",46.07,45.31,103.46,79.98,58.54,15.96,20.25,926.4,861.7,943.2,897,-1.76,1.05,-0.8
2026-05-15,"TSE",4543,"テルモ","Q4 '25","精密機器","up","up","flat","40","Q3累計売上¥8,316億(+7.7%)、営業利益¥1,449億(+8.5%)と過去最高を更新。北米が牽引し心臓血管・血液事業が伸長。関税影響¥70億を価格戦略¥115億で吸収。通期売上¥1.108兆を見込み、GS2026の営業利益率20%目標に向け進捗中。",15.01,12.48,22.14,23.96,-39.85,-1.9,-6.52,288.97,263.94,296.63,263.55,1.85,3.4,1.31
2026-05-20,"NASDAQ","NVDA","NVIDIA","Q1 '26","半導体、テクノロジー","up","up","up","45","Q4 FY2026売上$681億(+73%)と過去最高を連続更新。データセンター$623億(+75%)が売上の91%を占める。粗利率75%、GAAP純利益$430億。Q1 FY2027ガイダンス$780億は予想を大幅に上回る。ただし顧客集中と投資過熱への懸念から決算後株価は5.5%下落。",1.77,0.81,1.62,0.89,9.89,5.54,4.96,78.63,44.06,68.13,39.33,1.68,3.03,3.23
2026-06-04,"NASDAQ","AVGO","Broadcom (AVGO)","Q2 '26","半導体、テクノロジー","up","up","up","40","Q1 FY2026売上$193億(+29%)は過去最高。AI半導体売上$84億(+106%)がカスタムAIアクセラレータとネットワーキング需要で急成長。調整後EBITDA率68%、FCF$80億と収益力は極めて高い。Q2はAI売上$107億を見込み成長は加速する見通し。",2.39,1.58,2.05,1.6,0.69,0.93,6.12,22.02,15,19.31,14.92,0.31,0.28,2.05
2026-06-16,"NYSE","ORCL","Oracle","Q4 '25","エンタープライズソフト、クラウドインフラ","up","up","up","45","Q3 FY2026売上$172億(+22%)、非GAAP EPS$1.79(+21%)と15年ぶりに売上・EPSともに20%超成長を達成。クラウド売上$89億(+44%)、AI基盤売上は+243%と急拡大。RPO$5,530億(+325%)は巨大なAI受注残を反映。FY2027売上$900億へ上方修正。",1.95,1.7,1.79,1.47,3.5,5.3,-1.49,19.1,15.9,17.19,14.13,2.06,1.56,-1.71
2026-07-29,"NASDAQ","COST","Costco Wholesale","Q3 '26","小売り","up","up","up","20","Q2 FY2026売上$696億(+9.1%)、EPS$4.58(+13.9%)と予想を上回った。既存店+7.4%、デジタル+22.6%と堅調。会費収入は+14%で更新率92.1%と会員基盤は盤石。粗利率も+17bp改善。28店の新規出店計画を含め安定成長路線を維持。",4.96,4.28,4.58,4.02,1.01,0.67,-1.77,68.97,63.2,69.6,63.72,0.12,0.45,0.97
,"NASDAQ","NFLX","Netflix","Q1 '26","インターネット、テクノロジー",,,,,,0.76,0.66,1.23,0.66,16.54,61.21,16.54,12.18,10.54,12.25,10.54,0.34,0.6,0.34
,"NYSE","TSM","TSMC","Q1 '26","半導体、テクノロジー",,,,,,3.3,2.14,3.5,2.14,3.48,6.09,3.48,35.35,25.8,35.98,25.8,1.35,1.78,1.35
,"NYSE","JPM","JPMorgan Chase","Q1 '26","銀行、金融",,,,,,5.47,5.07,5.94,5.07,9.43,8.56,9.43,49.18,45.31,49.84,45.31,2.99,1.33,2.99
,"NYSE","JNJ","Johnson & Johnson","Q1 '26","医薬品",,,,,,2.68,2.77,2.7,2.77,7.33,0.85,7.33,23.61,21.89,24.06,21.89,1.55,1.89,1.55
,"TSE",9983,"ファーストリテイリング","Q2 '26","小売業",,,,,,310.38,331.19,429.7,331.19,26.2,38.44,26.2,989.4,895.01,1030,895.01,1.53,3.85,1.53
,"NYSE","BAC","Bank of America","Q1 '26","銀行、金融",,,,,,1.01,0.9,1.11,0.9,10.21,9.56,10.21,29.95,27.37,30.27,27.37,1.45,1.08,1.45
