date,market,symbol,company,fiscal_period,industry,Fundamental,Direction,Sentiment,Risk,summary,eps_forecast,surp_eps_current,sales_forecast,surp_current,theme,theme_score,watch_tier,watch_role,nikkei_weight,gross_margin,operating_margin,guidance_revision,relative_strength,reaction_close,reaction_next_day,market_interpretation,past_q1,past_q2,past_q3
2026-07-10,NYSE,UNH,UnitedHealth,Q2 '26,ヘルスケアサービス,flat,down,flat,65,"FY2025売上は$4,476億と12%増だが、医療費率の悪化で利益は大幅に低下。年初ガイダンスを何度も引き下げ、調整後EPSは$16.35に着地。2026年は売上減・会員減を見込むが利益率の改善を目指す。司法省の独禁調査やサイバー攻撃の影響も残る。",4.85,9.95,110.73,2.09,ヘルスケア,35,,,,84,11,down,30,-2.5,-1.2,bearish,-1.5,-3.2,2.1
2026-07-14,NYSE,JPM,JPMorgan Chase,Q2 '26,銀行、金融,,,,,,5.43,8.56,48.73,1.33,金融,60,,,,,,up,60,,,,,,
2026-07-14,NYSE,BAC,Bank of America,Q2 '26,銀行、金融,,,,,,1.1,9.56,30.09,1.08,金融,52,,,,,,flat,55,,,,,,
2026-07-16,NASDAQ,NFLX,Netflix,Q2 '26,インターネット、テクノロジー,,,,,,0.79,61.21,12.58,0.6,テクノロジー,60,,,,,,flat,60,,,,,,
2026-07-16,NYSE,TSM,TSMC,Q2 '26,半導体、テクノロジー,,,,,,3.76,6.09,39.9,1.78,AI半導体,88,最重要,テーマ強度,,58,46,up,85,,,,5.5,2.8,-1.5
2026-07-22,NYSE,JNJ,Johnson & Johnson,Q2 '26,医薬品,,,,,,2.84,0.85,24.96,1.89,医薬品,48,,,,68,26,flat,50,,,,,,
2026-07-24,TSE,4519,中外製薬,Q2 '26,医薬品,up,up,up,35,"FY2025売上は¥1兆2,579億(+7.5%)、営業利益¥5,988億(+10.5%)と増収増益。ヘムライブラやアクテムラの海外輸出が好調で国内薬価改定の影響を吸収。パイプラインも充実し、GLP-1やNXT007の進展が将来の成長余地を広げている。",74.99,4.48,338.54,2.28,医薬品,50,,,,55,38,up,65,1.2,0.5,bullish,,,
2026-07-24,TSE,6954,ファナック,Q1 '26,電気機器,up,flat,flat,50,"Q3累計(9ヶ月)売上¥6,233億(+6.5%)、営業利益¥1,277億(+15.6%)と増収増益。ロボット・FA需要は底打ちの兆し。ただし米国関税15%の影響を織り込み通期営業利益見通しを小幅に下方修正。景気・為替の不透明感が残る。",49.43,11.29,229.33,5.7,機械・FA,45,重要,補助,1.5,42,20,down,40,-1.5,-0.8,bearish,2.5,-1.8,0.5
2026-07-29,NASDAQ,COST,Costco Wholesale,Q3 '26,小売り,up,up,up,20,Q2 FY2026売上$696億(+9.1%)、EPS$4.58(+13.9%)と予想を上回った。既存店+7.4%、デジタル+22.6%と堅調。会費収入は+14%で更新率92.1%と会員基盤は盤石。粗利率も+17bp改善。28店の新規出店計画を含め安定成長路線を維持。,4.98,0.67,69.28,0.45,小売,65,,,,12,3,flat,65,,,,,,
2026-07-29,NASDAQ,TSLA,Tesla,Q2 '26,自動車、テクノロジー,flat,flat,flat,60,FY2025売上は$949億で前年からやや減少。Q4は調整後EPS$0.50で予想を上回り粗利率20%台に回復したが、年間の純利益は大きく縮小。BYDに販売台数で逆転され競争環境は厳しい。エネルギー事業や自動運転の進展が今後の鍵。,0.44,15.87,24.37,1.3,EV・テック,60,重要,心理確認,,18,9,down,55,-3.5,-1.8,bearish,4.2,-8.5,3.1
2026-08-04,NYSE,PG,Procter & Gamble,Q4 '26,消費財,up,flat,flat,30,Q2 FY2026売上は$222億で前年比1%増にとどまり、有機成長は横ばい。コアEPS$1.88は予想をわずかに上回った。原材料高や関税コスト、競争激化で利益率は低下。下期の回復を見込み通期ガイダンスは維持するが成長力の鈍化が続く。,1.42,2.2,21.4,3.43,消費財,30,,,,52,24,flat,40,0.8,0.3,neutral,1.2,-0.8,0.5
